"id","phase2","day","interaction","timea","timeb","dur","choice1","choice2","location","partner_gender","partner_status","first","mtone","length","level","igaff","igdom","agval","agarous","stress","health","sbi_extra","sbi_agree","sbi_domin","sbi_quarl","sbi_submi","sbi_agency","sbi_commun","sbi_total","sbi_agree_ips","sbi_domin_ips","sbi_quarl_ips","sbi_submi_ips","sbi_agency_ips","sbi_commun_ips"
203,1,1,1,1110,NA,110,1,7,3,1,4,0,0,6,5,9,8,9,8,0,0,0,2,0,0,1,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
203,1,1,2,1325,NA,30,1,7,3,0,5,0,1,4,0,7,8,9,6,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,1,3,1405,NA,20,1,7,NA,0,6,0,0,26,0,8,8,9,8,0,0,1,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,1,4,1845,NA,60,1,7,5,1,9,0,1,6,4,9,8,9,8,0,0,0,0,2,1,0,2,-1,0.25,-0.25,0.416666667,0.083333333,-0.25,0.666666667,-0.333333333
203,1,1,5,1845,NA,60,1,7,3,1,4,0,1,6,3,8,8,8,8,0,0,0,2,1,1,1,0,1,0.416666667,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
203,1,2,6,1200,NA,60,1,7,NA,0,9,0,1,24,5,9,9,9,9,0,1,0,2,0,1,1,-1,1,0.333333333,0.333333333,-0.333333333,0,0,-0.333333333,0.333333333
203,1,2,7,1200,NA,60,1,7,3,1,4,0,1,6,5,9,8,9,8,0,1,0,1,0,1,0,0,0,0.166666667,0.166666667,-0.166666667,0.166666667,-0.166666667,0,0
203,1,2,8,1530,NA,10,1,7,NA,1,9,0,0,6,4,9,8,8,8,0,0,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,2,9,1745,NA,30,1,7,3,1,4,0,1,6,3,8,8,9,8,0,0,0,1,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
203,1,2,10,1830,NA,7,1,7,3,1,4,1,0,6,3,9,8,9,8,0,0,0,1,2,1,0,2,0,0.333333333,0,0.333333333,0,-0.333333333,0.666666667,0
203,1,3,11,1200,NA,35,1,7,5,1,4,0,1,6,5,9,8,8,8,0,0,1,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,3,12,1230,NA,10,1,6,5,1,4,0,1,6,3,9,8,8,8,0,0,0,0,2,0,0,2,0,0.166666667,-0.166666667,0.5,-0.166666667,-0.166666667,0.666666667,0
203,1,3,13,1300,NA,30,1,7,3,0,6,0,0,24,5,9,9,9,9,0,0,0,2,2,0,0,2,2,0.333333333,0.333333333,0.333333333,-0.333333333,-0.333333333,0.666666667,0.666666667
203,1,3,14,1745,NA,10,1,7,3,1,9,0,0,6,4,9,9,9,9,0,0,0,1,1,2,0,1,-1,0.333333333,0,0,0.333333333,-0.333333333,0.333333333,-0.333333333
203,1,3,15,1830,NA,30,1,7,5,1,4,0,0,84,4,9,9,9,9,0,0,1,2,1,2,0,1,0,0.416666667,0.25,-0.083333333,0.25,-0.416666667,0.333333333,0
203,1,3,16,1915,NA,5,1,6,5,1,4,0,0,6,3,9,9,9,8,0,0,0,1,2,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
203,1,4,17,1105,NA,10,1,7,3,1,4,0,0,6,5,9,9,8,8,0,0,0,2,2,0,0,2,2,0.333333333,0.333333333,0.333333333,-0.333333333,-0.333333333,0.666666667,0.666666667
203,1,4,18,1210,NA,5,1,7,5,1,9,0,1,6,4,8,7,9,9,0,0,0,2,1,0,1,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
203,1,4,19,1310,NA,5,1,7,5,0,4,0,0,24,2,8,8,8,8,0,0,0,1,2,1,0,2,0,0.333333333,0,0.333333333,0,-0.333333333,0.666666667,0
203,1,4,20,1320,NA,7,1,6,3,0,4,0,0,6,2,8,7,8,7,1,0,0,0,0,2,1,-1,-2,0.25,-0.25,-0.25,0.416666667,0.083333333,-0.333333333,-0.666666667
203,1,4,21,1420,NA,6,1,7,5,1,4,0,0,6,3,9,9,8,8,0,0,0,2,2,1,0,2,1,0.416666667,0.25,0.25,-0.083333333,-0.416666667,0.666666667,0.333333333
203,1,4,22,1815,NA,10,1,7,3,1,4,0,0,6,3,8,8,8,8,2,0,0,2,0,0,1,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
203,1,4,23,1900,NA,30,1,7,5,1,4,0,1,6,3,8,8,8,8,0,0,0,2,1,1,0,1,1,0.333333333,0.333333333,0,0,-0.333333333,0.333333333,0.333333333
203,1,5,24,915,NA,15,2,6,3,1,9,0,0,6,4,7,7,7,7,3,1,0,1,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
203,1,5,25,1315,NA,5,1,7,3,0,4,0,0,6,2,8,8,8,7,2,1,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,5,26,1450,NA,20,4,4,3,1,5,0,1,2,1,9,8,9,8,1,0,0,1,0,1,1,-1,0,0.25,0.083333333,-0.25,0.083333333,0.083333333,-0.333333333,0
203,1,5,27,1740,NA,30,1,7,5,1,4,0,0,6,3,8,8,8,8,1,0,0,3,1,0,1,0,3,0.416666667,0.583333333,-0.083333333,-0.416666667,-0.083333333,0,1
203,1,5,28,1915,NA,10,1,7,5,1,4,0,0,6,5,8,8,8,8,2,0,0,1,1,1,1,0,0,0.333333333,0,0,0,0,0,0
203,1,6,29,1110,NA,8,1,7,3,1,4,0,0,6,5,8,8,8,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,6,30,1210,NA,15,1,7,5,1,9,0,1,6,4,8,8,8,8,0,0,0,1,0,1,0,0,0,0.166666667,0.166666667,-0.166666667,0.166666667,-0.166666667,0,0
203,1,6,31,1245,NA,5,2,6,5,1,4,0,0,36,2,8,8,8,8,0,1,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,6,32,1430,NA,10,1,6,3,1,4,0,0,6,2,7,8,8,8,0,1,0,2,0,0,0,0,2,0.166666667,0.5,-0.166666667,-0.166666667,-0.166666667,0,0.666666667
203,1,6,33,1700,NA,20,1,7,5,1,4,0,1,6,3,8,8,8,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,6,34,1900,NA,10,1,6,5,0,4,0,0,4,3,8,8,8,8,0,0,0,2,0,1,1,-1,1,0.333333333,0.333333333,-0.333333333,0,0,-0.333333333,0.333333333
203,1,7,35,920,NA,5,1,7,3,1,9,0,0,6,4,7,7,8,8,0,1,0,0,0,2,1,-1,-2,0.25,-0.25,-0.25,0.416666667,0.083333333,-0.333333333,-0.666666667
203,1,7,36,1320,NA,7,2,6,3,0,4,0,0,4,2,8,8,7,8,0,0,0,2,1,0,0,1,2,0.25,0.416666667,0.083333333,-0.25,-0.25,0.333333333,0.666666667
203,1,7,37,1415,NA,8,1,7,5,1,5,0,0,4,2,8,8,8,8,0,0,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,7,38,1550,NA,5,1,7,3,1,1,0,0,3,NA,9,9,8,8,0,0,0,1,2,0,1,1,1,0.333333333,0,0.333333333,-0.333333333,0,0.333333333,0.333333333
203,1,7,39,1730,NA,10,2,6,5,1,4,0,0,6,3,8,8,8,8,0,0,1,2,0,1,1,-1,1,0.333333333,0.333333333,-0.333333333,0,0,-0.333333333,0.333333333
203,1,7,40,1830,NA,20,1,7,5,1,4,0,1,6,3,8,8,7,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,7,41,2030,NA,8,1,7,5,1,4,0,0,6,5,8,8,8,8,0,0,0,2,1,0,0,1,2,0.25,0.416666667,0.083333333,-0.25,-0.25,0.333333333,0.666666667
203,1,8,42,1110,NA,7,1,7,3,1,4,0,0,6,5,8,8,8,8,0,0,0,2,2,1,0,2,1,0.416666667,0.25,0.25,-0.083333333,-0.416666667,0.666666667,0.333333333
203,1,8,43,1205,NA,5,1,7,5,1,4,0,1,6,3,8,8,8,8,0,0,0,2,1,0,0,1,2,0.25,0.416666667,0.083333333,-0.25,-0.25,0.333333333,0.666666667
203,1,8,44,1320,NA,7,2,6,3,0,4,0,0,4,3,8,8,8,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,8,45,1430,NA,10,1,7,3,1,9,0,0,6,4,8,7,8,8,0,0,0,1,1,2,0,1,-1,0.333333333,0,0,0.333333333,-0.333333333,0.333333333,-0.333333333
203,1,8,46,1620,NA,8,1,7,5,1,4,0,1,6,3,9,9,9,8,0,0,0,1,1,1,1,0,0,0.333333333,0,0,0,0,0,0
203,1,8,47,1830,NA,15,1,7,5,1,4,0,0,80,4,8,8,8,8,0,0,0,1,2,2,0,2,-1,0.416666667,-0.083333333,0.25,0.25,-0.416666667,0.666666667,-0.333333333
203,1,9,48,1200,NA,5,1,7,5,1,9,0,0,6,4,8,8,8,8,0,1,0,2,1,0,2,-1,2,0.416666667,0.25,-0.083333333,-0.416666667,0.25,-0.333333333,0.666666667
203,1,9,49,1215,NA,5,1,7,5,1,4,0,1,6,5,8,8,8,8,0,1,0,0,1,1,2,-1,-1,0.333333333,-0.333333333,0,0,0.333333333,-0.333333333,-0.333333333
203,1,9,50,1250,NA,5,2,6,5,1,4,0,0,6,2,7,8,7,8,0,0,0,1,0,1,1,-1,0,0.25,0.083333333,-0.25,0.083333333,0.083333333,-0.333333333,0
203,1,9,51,1300,NA,10,1,7,3,1,4,0,1,6,4,8,7,8,8,0,0,0,1,2,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
203,1,9,52,1315,NA,7,1,7,5,1,4,0,0,6,3,8,8,8,8,0,0,0,1,2,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
203,1,9,53,1745,NA,10,1,7,5,1,4,0,0,6,3,8,8,8,8,0,0,0,2,1,1,0,1,1,0.333333333,0.333333333,0,0,-0.333333333,0.333333333,0.333333333
203,1,9,54,1810,NA,10,1,7,5,1,4,0,1,6,3,8,8,8,8,0,0,1,1,1,2,0,1,-1,0.333333333,0,0,0.333333333,-0.333333333,0.333333333,-0.333333333
203,1,10,55,1230,NA,5,1,7,5,1,9,0,0,6,4,8,8,8,8,0,0,0,2,1,1,0,1,1,0.333333333,0.333333333,0,0,-0.333333333,0.333333333,0.333333333
203,1,10,56,1600,NA,10,1,7,5,1,4,0,0,6,5,8,8,8,8,0,0,0,1,0,1,1,-1,0,0.25,0.083333333,-0.25,0.083333333,0.083333333,-0.333333333,0
203,1,10,57,1715,NA,5,1,7,5,1,4,0,0,6,3,8,8,7,8,0,0,0,1,2,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
203,1,10,58,1815,NA,10,1,7,5,1,4,0,1,6,3,8,8,8,8,0,0,0,2,0,0,1,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
203,1,10,59,1930,NA,5,1,7,5,1,4,0,0,72,4,8,8,8,8,0,0,0,1,1,1,1,0,0,0.333333333,0,0,0,0,0,0
203,1,10,60,2100,NA,7,2,7,5,0,4,0,1,6,2,7,6,8,8,0,0,0,0,0,2,0,0,-2,0.166666667,-0.166666667,-0.166666667,0.5,-0.166666667,0,-0.666666667
203,1,11,61,1000,NA,15,1,6,5,1,9,0,0,6,4,8,8,8,8,0,0,0,1,0,2,0,0,-1,0.25,0.083333333,-0.25,0.416666667,-0.25,0,-0.333333333
203,1,11,62,1105,NA,10,1,7,3,1,4,0,0,6,5,8,8,8,8,0,0,0,3,2,0,1,1,3,0.5,0.5,0.166666667,-0.5,-0.166666667,0.333333333,1
203,1,11,63,1200,NA,5,1,6,5,1,4,0,0,6,3,8,8,7,8,0,0,0,1,0,0,2,-2,1,0.25,0.083333333,-0.25,-0.25,0.416666667,-0.666666667,0.333333333
203,1,11,64,1420,NA,5,1,7,3,0,4,0,0,4,3,8,8,9,9,0,0,0,2,1,0,0,1,2,0.25,0.416666667,0.083333333,-0.25,-0.25,0.333333333,0.666666667
203,1,11,65,1445,NA,7,2,6,5,0,4,0,1,6,3,7,8,8,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,11,66,1530,NA,15,1,7,5,1,4,0,1,6,3,8,8,7,7,1,0,0,1,2,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
203,1,12,67,920,NA,5,1,7,3,1,9,0,0,6,4,8.5,7.5,8,7,0,0,0,0,2,0,0,2,0,0.166666667,-0.166666667,0.5,-0.166666667,-0.166666667,0.666666667,0
203,1,12,68,1315,NA,10,1,7,3,0,4,0,1,5,3,8,7,8,8,0,0,0,1,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
203,1,12,69,1400,NA,7,1,7,3,1,4,0,0,5,2,8,8,8,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,12,70,1545,NA,10,1,7,5,1,4,0,0,6,5,8,8,8,8,1,0,0,1,0,1,0,0,0,0.166666667,0.166666667,-0.166666667,0.166666667,-0.166666667,0,0
203,1,12,71,2000,NA,5,1,7,5,1,4,0,0,6,3,8,8,8,8,1,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,13,72,930,NA,15,1,7,3,1,9,0,0,6,4,7,8,8,8,1,1,0,2,0,0,1,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
203,1,13,73,1100,NA,7,1,7,3,1,4,0,0,6,5,8,8,8,8,1,1,0,0,0,1,0,0,-1,0.083333333,-0.083333333,-0.083333333,0.25,-0.083333333,0,-0.333333333
203,1,13,74,2000,NA,10,1,7,3,1,4,0,0,6,3,8,8,8,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,14,75,915,NA,5,1,7,3,1,9,0,0,6,4,8,8,8,8,0,0,0,0,2,0,0,2,0,0.166666667,-0.166666667,0.5,-0.166666667,-0.166666667,0.666666667,0
203,1,14,76,1320,NA,7,1,6,3,0,4,0,0,5,2,8,7,8,7,0,0,0,1,0,1,1,-1,0,0.25,0.083333333,-0.25,0.083333333,0.083333333,-0.333333333,0
203,1,14,77,1500,NA,10,3,5,3,1,5,0,1,2,1,8,8,8,8,0,0,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,14,78,1700,NA,15,1,7,5,1,4,0,1,7,3,8,8,8,8,0,0,0,2,0,0,0,0,2,0.166666667,0.5,-0.166666667,-0.166666667,-0.166666667,0,0.666666667
203,1,14,79,2110,NA,10,1,7,3,0,6,0,0,24,5,9,9,9,9,0,0,0,2,1,1,0,1,1,0.333333333,0.333333333,0,0,-0.333333333,0.333333333,0.333333333
203,1,15,80,1010,NA,20,1,7,3,0,6,0,0,24,5,8,8,8,8,0,0,0,2,0,1,0,0,1,0.25,0.416666667,-0.25,0.083333333,-0.25,0,0.333333333
203,1,15,81,1110,NA,7,1,7,3,1,4,0,0,7,5,8,8,8,7.5,0,0,0,1,2,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
203,1,15,82,1215,NA,10,1,7,5,1,9,0,0,7,4,8,8,7,7,0,0,0,2,0,0,0,0,2,0.166666667,0.5,-0.166666667,-0.166666667,-0.166666667,0,0.666666667
203,1,15,83,1800,NA,20,1,7,5,1,4,0,1,7,3,9,8,8,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,16,84,1130,NA,20,1,7,5,1,9,0,1,7,3,8.5,8,8.5,7,0,0,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,16,85,1200,NA,15,1,7,3,0,6,0,0,24,5,8,8,9,8,0,0,0,2,0,0,1,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
203,1,16,86,1400,NA,20,1,7,5,1,4,0,1,7,5,9,8,9,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,16,87,1700,NA,10,1,7,5,1,4,0,0,7,3,8,8,8,8,0,0,0,1,0,1,0,0,0,0.166666667,0.166666667,-0.166666667,0.166666667,-0.166666667,0,0
203,1,16,88,1830,NA,20,1,7,5,1,4,0,1,7,3,8,8,8,7.5,0,0,0,2,1,0,1,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
203,1,17,89,1100,NA,20,1,7,NA,0,6,0,NA,24,5,8,8,8,8,0,0,0,3,0,0,1,-1,3,0.333333333,0.666666667,-0.333333333,-0.333333333,0,-0.333333333,1
203,1,17,90,1130,NA,10,1,7,5,1,5,0,1,7,2,8,8,8,8,0,0,0,2,1,1,0,1,1,0.333333333,0.333333333,0,0,-0.333333333,0.333333333,0.333333333
203,1,17,91,1300,NA,8,1,7,NA,0,4,0,0,24,4,7.5,8,8,8,0,0,1,2,0,1,0,0,1,0.25,0.416666667,-0.25,0.083333333,-0.25,0,0.333333333
203,1,17,92,1700,NA,10,1,7,5,1,4,0,1,7,5,8,8,8,8,0,0,0,2,2,0,0,2,2,0.333333333,0.333333333,0.333333333,-0.333333333,-0.333333333,0.666666667,0.666666667
203,1,17,93,1800,NA,15,1,7,3,1,9,0,0,7,4,8,8,8,7,0,0,0,1,1,1,1,0,0,0.333333333,0,0,0,0,0,0
203,1,18,94,1100,NA,15,1,7,3,1,4,0,0,7,5,8,7,8,8,0,0,0,2,0,1,0,0,1,0.25,0.416666667,-0.25,0.083333333,-0.25,0,0.333333333
203,1,18,95,1200,NA,10,1,7,5,1,9,0,0,7,4,8,8,8,7,0,0,0,1,0,2,0,0,-1,0.25,0.083333333,-0.25,0.416666667,-0.25,0,-0.333333333
203,1,18,96,1225,NA,5,1,6,5,1,4,0,0,48,2,8,8,8,8,0,0,0,2,1,0,1,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
203,1,18,97,1345,NA,7,1,7,NA,1,4,0,0,7,3,9,8,9,8,0,0,0,2,0,0,1,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
203,1,18,98,1800,NA,10,1,7,5,1,4,0,0,7,3,8,8,9,7,0,0,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,19,99,1045,NA,10,1,7,NA,1,9,0,0,7,4,8,8,8,8,0,3,0,1,0,0,1,-1,1,0.166666667,0.166666667,-0.166666667,-0.166666667,0.166666667,-0.333333333,0.333333333
203,1,19,100,1200,NA,20,1,7,5,1,4,0,0,7,5,8,8,8,8,0,3,0,0,1,0,0,1,0,0.083333333,-0.083333333,0.25,-0.083333333,-0.083333333,0.333333333,0
203,1,19,101,1320,NA,5,1,7,3,0,4,0,0,5,3,8,7.5,8,8,0,3,0,1,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
203,1,19,102,1800,NA,10,1,7,5,1,4,0,1,2,3,8,8,7,7,0,2,0,0,1,0,0,1,0,0.083333333,-0.083333333,0.25,-0.083333333,-0.083333333,0.333333333,0
203,1,20,103,1300,NA,15,1,7,NA,1,9,0,0,7,4,8,8,8,7,0,1,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,20,104,1500,NA,5,1,7,5,1,4,0,0,7,3,8,8,8,8,0,1,0,1,0,1,0,0,0,0.166666667,0.166666667,-0.166666667,0.166666667,-0.166666667,0,0
203,1,20,105,1900,NA,20,1,7,5,1,4,0,1,7,3,8,8,8,8,0,1,0,2,0,1,0,0,1,0.25,0.416666667,-0.25,0.083333333,-0.25,0,0.333333333
203,1,20,106,2000,NA,10,1,7,NA,1,4,0,0,2,5,7,7,9,7,0,1,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,21,107,920,NA,5,1,7,NA,1,9,0,0,7,4,9,8,9,8,0,0,1,1,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
203,1,21,108,1100,NA,10,1,7,5,1,4,0,0,48,3,9,8,8,8,0,0,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
203,1,21,109,1200,NA,5,1,7,5,1,4,0,1,7,5,8,7,8,7.5,0,0,0,1,0,1,0,0,0,0.166666667,0.166666667,-0.166666667,0.166666667,-0.166666667,0,0
203,1,21,110,1800,NA,5,1,7,5,1,4,0,1,7,3,8,8,8,8,0,0,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
203,1,21,111,1830,NA,10,1,7,5,1,4,0,1,7,2,8,8,8,8,0,0,0,2,0,0,0,0,2,0.166666667,0.5,-0.166666667,-0.166666667,-0.166666667,0,0.666666667
204,1,1,1,900,1100,30,1,7,2,0,6,0,0,5,4,7,6,3,5,4,3,0,0,0,1,1,-1,-1,0.166666667,-0.166666667,-0.166666667,0.166666667,0.166666667,-0.333333333,-0.333333333
204,1,1,2,1000,1100,10,1,7,3,1,4,0,0,2,2,9,6,7,5,3,2,0,2,1,0,0,1,2,0.25,0.416666667,0.083333333,-0.25,-0.25,0.333333333,0.666666667
204,1,1,3,900,1100,60,2,6,3,1,4,0,1,8,4,8,6,7,8,1,2,0,1,0,1,0,0,0,0.166666667,0.166666667,-0.166666667,0.166666667,-0.166666667,0,0
204,1,1,4,1102,1117,10,1,7,3,1,4,0,0,9,5,9,9,6,6,3,2,0,3,1,1,1,0,2,0.5,0.5,-0.166666667,-0.166666667,-0.166666667,0,0.666666667
204,1,1,5,1400,1430,20,1,7,3,1,4,0,0,9,5,8,6,8,3,1,1,0,1,1,0,1,0,1,0.25,0.083333333,0.083333333,-0.25,0.083333333,0,0.333333333
204,1,1,6,1515,1545,5,4,4,NA,0,NA,1,0,0,1,7,9,8,8,2,2,1,0,1,0,1,0,0,0.166666667,-0.166666667,0.166666667,-0.166666667,0.166666667,0,0
204,1,1,7,1415,1545,60,1,1,5,0,6,0,0,5,4,9,6,9,8,1,0,0,1,1,1,2,-1,0,0.416666667,-0.083333333,-0.083333333,-0.083333333,0.25,-0.333333333,0
204,1,1,8,1540,1555,10,1,7,2,0,4,0,NA,4,5,7,6,8,4,0,1,0,1,1,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
204,1,2,9,30,2530,30,2,6,5,0,4,0,1,4,3,7,6,7,9,0,2,0,1,1,1,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
204,1,2,10,102,130,15,2,4,2,0,4,0,1,5,1,8,9,5,6,0,1,0,1,1,0,1,0,1,0.25,0.083333333,0.083333333,-0.25,0.083333333,0,0.333333333
204,1,2,11,200,415,120,1,7,2,0,6,0,0,5,0,1,5,1,1,4,3,0,0,3,0,1,2,0,0.333333333,-0.333333333,0.666666667,-0.333333333,0,0.666666667,0
204,1,2,12,1245,1600,15,1,6,1,1,9,0,0,8,5,9,6,7,4,0,2,0,2,0,0,2,-2,2,0.333333333,0.333333333,-0.333333333,-0.333333333,0.333333333,-0.666666667,0.666666667
204,1,2,13,1330,1615,25,3,7,NA,1,4,0,1,6,3,9,9,8,5,1,2,0,1,2,1,1,1,0,0.416666667,-0.083333333,0.25,-0.083333333,-0.083333333,0.333333333,0
204,1,2,14,1720,1730,7,2,6,2,1,4,0,1,8,5,6,7,2,7,3,3,0,1,0,2,2,-2,-1,0.416666667,-0.083333333,-0.416666667,0.25,0.25,-0.666666667,-0.333333333
204,1,2,15,1900,1937,20,2,6,5,1,4,0,1,7,2,6,9,9,7,0,0,0,2,1,0,1,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
204,1,2,16,2000,2100,35,1,7,1,1,9,0,NA,8,5,9,6,7,4,2,2,0,1,0,0,2,-2,1,0.25,0.083333333,-0.25,-0.25,0.416666667,-0.666666667,0.333333333
204,1,3,17,330,1100,30,1,7,2,0,4,0,0,5,4,9,6,1,1,5,3,0,0,1,1,1,0,-1,0.25,-0.25,0.083333333,0.083333333,0.083333333,0,-0.333333333
204,1,3,18,1030,1100,20,1,7,1,1,9,0,NA,8,5,7,6,1,5,5,5,0,1,2,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
204,1,3,19,1120,1200,20,1,7,2,1,4,0,0,8,5,5,1,4,4,5,5,1,2,0,0,0,0,2,0.166666667,0.5,-0.166666667,-0.166666667,-0.166666667,0,0.666666667
204,1,3,20,1300,1730,40,1,7,2,0,6,0,0,5,0,5,7,1,9,5,5,0,1,3,2,1,2,-1,0.583333333,-0.25,0.416666667,0.083333333,-0.25,0.666666667,-0.333333333
204,1,3,21,1530,1730,10,2,6,2,0,4,NA,0,5,3,9,9,9,6,2,3,0,1,0,0,1,-1,1,0.166666667,0.166666667,-0.166666667,-0.166666667,0.166666667,-0.333333333,0.333333333
204,1,3,22,1900,1930,20,1,7,1,1,9,0,0,8,0,9,9,9,6,2,2,0,2,1,0,1,0,2,0.333333333,0.333333333,0,-0.333333333,0,0,0.666666667
204,1,4,23,905,1030,15,1,7,3,1,4,0,0,6,2,9,9,7,7,0,1,0,2,2,0,0,2,2,0.333333333,0.333333333,0.333333333,-0.333333333,-0.333333333,0.666666667,0.666666667
204,1,4,24,1000,1030,10,2,7,3,1,4,0,0,1,3,6,7,9,6,0,1,0,2,0,0,0,0,2,0.166666667,0.5,-0.166666667,-0.166666667,-0.166666667,0,0.666666667
204,1,4,25,1115,1452,10,1,7,3,0,6,0,0,5,4,9,9,9,9,0,1,0,2,1,2,0,1,0,0.416666667,0.25,-0.083333333,0.25,-0.416666667,0.333333333,0
204,1,4,26,1230,1455,20,1,7,3,0,4,0,1,5,3,9,6,9,9,0,1,0,2,0,1,0,0,1,0.25,0.416666667,-0.25,0.083333333,-0.25,0,0.333333333
204,1,4,27,1230,1457,30,1,7,3,1,6,0,0,5,NA,9,9,4,9,0,1,0,0,1,2,0,1,-2,0.25,-0.25,0.083333333,0.416666667,-0.25,0.333333333,-0.666666667
204,1,4,28,2120,2130,10,2,7,5,1,4,0,NA,7,4,8,9,3,9,5,0,0,1,2,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
204,1,5,29,1100,1140,30,4,4,3,1,NA,NA,0,8,1,9,9,2,9,5,1,0,2,0,1,2,-2,1,0.416666667,0.25,-0.416666667,-0.083333333,0.25,-0.666666667,0.333333333
204,1,5,30,1200,1240,5,1,7,5,1,4,0,0,7,NA,9,6,9,9,0,0,1,2,0,1,0,0,1,0.25,0.416666667,-0.25,0.083333333,-0.25,0,0.333333333
